image,author,license,source_url
Colker_gym.jpg,Jenfit001,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Colker_gym.jpg
Hitman_on_side_chest_pose..jpg,John cenation,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Hitman_on_side_chest_pose..jpg
131st_Airman_first_in_fitness_despite_having_to_relearn_to_walk_160408-Z-WB313-013.jpg,Airman Halley Burgess,Public domain,https://commons.wikimedia.org/wiki/File:131st_Airman_first_in_fitness_despite_having_to_relearn_to_walk_160408-Z-WB313-013.jpg
BodybuildingWoman.jpg,roonb,CC BY 2.0,https://commons.wikimedia.org/wiki/File:BodybuildingWoman.jpg
Dexter_Jackson_IFBB_2008_Australia_3.jpg,"www.localfitness.com.au, Jahn Schiller",CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Dexter_Jackson_IFBB_2008_Australia_3.jpg
Phil_Heath_Kai_Greene.JPG,Kevin Laval,CC0,https://commons.wikimedia.org/wiki/File:Phil_Heath_Kai_Greene.JPG
2826251_Soldiers_and_civilians_pose_for_a_panel_of_judges_at__The_Rock__Bodybuilding_and_Figure_Competition_at_Woodruff_,U.S. Army photo by Sgt. Joshua Laidacker,Public domain,"https://commons.wikimedia.org/wiki/File:2826251_Soldiers_and_civilians_pose_for_a_panel_of_judges_at_%E2%80%9CThe_Rock%E2%80%9D_Bodybuilding_and_Figure_Competition_at_Woodruff_Theater,_Fort_Stewart.jpg"
Anura_Ranasinghe__Posing__Suit.jpg,unknown,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Anura_Ranasinghe,_Posing,_Suit.jpg"
Army_Strong__Sgt._Odyssey_U._Martin_named_the_women_s_tall_figure_and_bodybuilding_heavyweight_champion_at_the_2013_Musc,Capt. Sonie Munson,Public domain,"https://commons.wikimedia.org/wiki/File:Army_Strong,_Sgt._Odyssey_U._Martin_named_the_women%27s_tall_figure_and_bodybuilding_heavyweight_champion_at_the_2013_Muscle_Beach_Classic_130804-A-YY695-169.jpg"
Basra_bodybuilding_competition_DVIDS288962.jpg,Staff Sgt. Adelita Mead,Public domain,https://commons.wikimedia.org/wiki/File:Basra_bodybuilding_competition_DVIDS288962.jpg
Basra_bodybuilding_competition_DVIDS288968.jpg,Staff Sgt. Adelita Mead,Public domain,https://commons.wikimedia.org/wiki/File:Basra_bodybuilding_competition_DVIDS288968.jpg
Basra_bodybuilding_competition_DVIDS288972.jpg,Staff Sgt. Adelita Mead,Public domain,https://commons.wikimedia.org/wiki/File:Basra_bodybuilding_competition_DVIDS288972.jpg
Basra_bodybuilding_competition_DVIDS288980.jpg,Staff Sgt. Adelita Mead,Public domain,https://commons.wikimedia.org/wiki/File:Basra_bodybuilding_competition_DVIDS288980.jpg
Chill_Will_Lynch_bodybuilder.jpg,Lmn27604,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Chill_Will_Lynch_bodybuilder.jpg
DF-SC-01-04792_Shawn_Wolfe_and_Derrick_Anderson_strike_poses_during_the_finals_of_the_9th_annual_Northern_Japan_Bodybuil,"US Army Photo by Scene Camera Operator: SSGT Milo E. Ware, Jr.",Public domain,https://commons.wikimedia.org/wiki/File:DF-SC-01-04792_Shawn_Wolfe_and_Derrick_Anderson_strike_poses_during_the_finals_of_the_9th_annual_Northern_Japan_Bodybuilding_Championships.jpeg
Female_bodybuilding_and_fitness_competition__Qu_bec__2006.jpg,Joey Berzowska from Montreal,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Female_bodybuilding_and_fitness_competition,_Qu%C3%A9bec,_2006.jpg"
Fisicoculturismo_argentino_.AFCA_._HORACIO_PATRONE_1__lugar_MR._GIMNASIO_ROMA_1966_en_categoria_Mayor_altura_1_85_mts__p,Horacio patrone,Public domain,"https://commons.wikimedia.org/wiki/File:Fisicoculturismo_argentino_.AFCA_._HORACIO_PATRONE_1%C2%AA_lugar_MR._GIMNASIO_ROMA_1966_en_categoria_Mayor_altura_1,85_mts_,peso_77_kilos,-_edad_17_a%C3%B1os.jpg"
Fisicoculturismo_argentino_AFCA_1__lugar_Horacio_Patrone_Torneo_Mr_CULTURA_FISICA_1968_categoria_junior._altura_1_85_mts,Horacio patrone,Public domain,"https://commons.wikimedia.org/wiki/File:Fisicoculturismo_argentino_AFCA_1%C2%AA_lugar_Horacio_Patrone_Torneo_Mr_CULTURA_FISICA_1968_categoria_junior._altura_1,85_mts_peso_83_kilos,_Pose_de_Espalda.jpg"
Fisicoculturismo_argentino_AFCA_1__lugar_Torneo_Horacio_Patrone_Mr_CULTURA_FISICA_1968_categoria_junior_._altura_1_85_mt,Horacio patrone,Public domain,"https://commons.wikimedia.org/wiki/File:Fisicoculturismo_argentino_AFCA_1%C2%AA_lugar_Torneo_Horacio_Patrone_Mr_CULTURA_FISICA_1968_categoria_junior_._altura_1,85_mts_peso_83_kilos,Pose_Triceps_de_Rodillas_._-_edad_19_a%C3%B1os.jpg"
Fisicoculturismo_argentino_AFCA_1__lugar_Torneo_Horacio_Patrone_Mr_CULTURA_FISICA_1968_categoria_junior_.jpg_altura_1_85,Horacio patrone,Public domain,"https://commons.wikimedia.org/wiki/File:Fisicoculturismo_argentino_AFCA_1%C2%AA_lugar_Torneo_Horacio_Patrone_Mr_CULTURA_FISICA_1968_categoria_junior_.jpg_altura_1,85_mts_peso_83_kilos,Pose_de_Mas_Musculado.jpg"
Five_men_in_swimwear_posing_on_the_beach__NINO_F_Scholten_Tel_Aviv_03_92.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Five_men_in_swimwear_posing_on_the_beach,_NINO_F_Scholten_Tel_Aviv_03_92.tiff"
HORACIO_PATRONE___CON_UN_PESO_CORPORAL_DE_92_KILOS._ENTRENANDO_PARA_LOS_TORNEOS_DEL_A_O_1971.jpg,fotografo y atleta fisicoculturista RUBEN STORANI,Public domain,"https://commons.wikimedia.org/wiki/File:HORACIO_PATRONE_,_CON_UN_PESO_CORPORAL_DE_92_KILOS._ENTRENANDO_PARA_LOS_TORNEOS_DEL_A%C3%91O_1971.jpg"
Man_in_trunks_posing_for_the_camera._Tent_and_building_in_the_background__NINO_F_Scholten_Tel_Aviv_13_031.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_in_trunks_posing_for_the_camera._Tent_and_building_in_the_background,_NINO_F_Scholten_Tel_Aviv_13_031.tiff"
Man_in_trunks_posing_for_the_camera._Tent_and_building_in_the_background__NINO_F_Scholten_photographic_print_04_356.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_in_trunks_posing_for_the_camera._Tent_and_building_in_the_background,_NINO_F_Scholten_photographic_print_04_356.tiff"
Man_posing_in_the_beach_with_a_disk__NINO_F_Scholten_Tel_Aviv_06_89.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_posing_in_the_beach_with_a_disk,_NINO_F_Scholten_Tel_Aviv_06_89.tiff"
Man_wearing_a_trunk_lying_down_in_the_sand__posing__NINO_F_Scholten_Tel_Aviv_13_103.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_wearing_a_trunk_lying_down_in_the_sand,_posing,_NINO_F_Scholten_Tel_Aviv_13_103.tiff"
Man_wearing_a_trunk_lying_down_in_the_sand__posing__NINO_F_Scholten_photographic_print_17_182.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_wearing_a_trunk_lying_down_in_the_sand,_posing,_NINO_F_Scholten_photographic_print_17_182.tiff"
Man_wearing_a_trunk_posing_for_the_camera__smiling__NINO_F_Scholten_Tel_Aviv_13_105.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_wearing_a_trunk_posing_for_the_camera,_smiling,_NINO_F_Scholten_Tel_Aviv_13_105.tiff"
Man_wearing_swimwear_posing_on_the_beach__NINO_F_Scholten_Tel_Aviv_04_53.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_wearing_swimwear_posing_on_the_beach,_NINO_F_Scholten_Tel_Aviv_04_53.tiff"
Man_wearing_swimwear_posing_on_the_beach__NINO_F_Scholten_photographic_print_02_1117.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Man_wearing_swimwear_posing_on_the_beach,_NINO_F_Scholten_photographic_print_02_1117.tiff"
Nkhs8.jpg,1069men,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Nkhs8.jpg
Nkhs9.jpg,1069men,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Nkhs9.jpg
Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-053.jpg,Airman 1st Class Collin Schmidt,Public domain,https://commons.wikimedia.org/wiki/File:Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-053.jpg
Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-211.jpg,Airman 1st Class Collin Schmidt,Public domain,https://commons.wikimedia.org/wiki/File:Team_Malmstrom_members_compete_in_bodybuilding_competition_150508-F-GF295-211.jpg
Three_men_wearing_swimwear_posing_for_the_camera__NINO_F_Scholten_Tel_Aviv_04_55.tiff,Frank Scholten,Public domain,"https://commons.wikimedia.org/wiki/File:Three_men_wearing_swimwear_posing_for_the_camera,_NINO_F_Scholten_Tel_Aviv_04_55.tiff"
